time,parent,analyte,matrix,conc,replicate,microMexp,
0,atrazine,atrazine,microsomes,161.3269045,4,150,
15,atrazine,atrazine,microsomes,166.2075511,1,150,
15,atrazine,atrazine,microsomes,172.0808344,2,150,
15,atrazine,atrazine,microsomes,160.6936643,3,150,
15,atrazine,atrazine,microsomes,165.3166598,4,150,
30,atrazine,atrazine,microsomes,159.617099,1,150,
30,atrazine,atrazine,microsomes,163.8882653,2,150,
30,atrazine,atrazine,microsomes,163.2166289,3,150,
30,atrazine,atrazine,microsomes,147.6768247,4,150,
60,atrazine,atrazine,microsomes,158.609644,1,150,
60,atrazine,atrazine,microsomes,155.3367996,2,150,
60,atrazine,atrazine,microsomes,164.3543865,3,150,
60,atrazine,atrazine,microsomes,154.8116248,4,150,
90,atrazine,atrazine,microsomes,144.3980039,1,150,
90,atrazine,atrazine,microsomes,157.4612738,2,150,
90,atrazine,atrazine,microsomes,158.6914136,3,150,
90,atrazine,atrazine,microsomes,142.9719318,4,150,
0,atrazine,atrazine,microsomes,,1,250,
0,atrazine,atrazine,microsomes,307.3284417,2,250,
0,atrazine,atrazine,microsomes,265.9378204,3,250,
15,atrazine,atrazine,microsomes,291.3287058,1,250,
15,atrazine,atrazine,microsomes,348.5203086,2,250,
15,atrazine,atrazine,microsomes,380.5694691,3,250,
30,atrazine,atrazine,microsomes,264.3974732,1,250,
31,atrazine,atrazine,microsomes,,2,250,
30,atrazine,atrazine,microsomes,240.4972465,3,250,
60,atrazine,atrazine,microsomes,340.8682609,1,250,
60,atrazine,atrazine,microsomes,244.0251386,2,250,
60,atrazine,atrazine,microsomes,274.4345746,3,250,
90,atrazine,atrazine,microsomes,289.987113,1,250,
90,atrazine,atrazine,microsomes,240.9444441,2,250,
90,atrazine,atrazine,microsomes,327.4026446,3,250,
0,atrazine,dea,microsomes,0.036297037,1,50,
0,atrazine,dea,microsomes,0.020155338,2,50,
0,atrazine,dea,microsomes,0,3,50,
15,atrazine,dea,microsomes,0.556132535,1,50,
15,atrazine,dea,microsomes,0.426402494,2,50,
15,atrazine,dea,microsomes,0.367645414,3,50,
30,atrazine,dea,microsomes,0.875251483,1,50,
30,atrazine,dea,microsomes,0.773924251,2,50,
30,atrazine,dea,microsomes,0.782702264,3,50,
60,atrazine,dea,microsomes,1.213136274,1,50,
60,atrazine,dea,microsomes,1.251229589,2,50,
60,atrazine,dea,microsomes,1.396543005,3,50,
90,atrazine,dea,microsomes,1.905345081,1,50,
90,atrazine,dea,microsomes,1.728273154,2,50,
90,atrazine,dea,microsomes,1.633832066,3,50,
0,atrazine,dea,microsomes,0,1,10,
0,atrazine,dea,microsomes,0.008626567,2,10,
0,atrazine,dea,microsomes,0,3,10,
15,atrazine,dea,microsomes,0.103194408,1,10,
15,atrazine,dea,microsomes,0.112578897,2,10,
15,atrazine,dea,microsomes,0.159184181,3,10,
30,atrazine,dea,microsomes,0.221372739,1,10,
30,atrazine,dea,microsomes,0.168939786,2,10,
30,atrazine,dea,microsomes,0.193731234,3,10,
60,atrazine,dea,microsomes,,1,10,
60,atrazine,dea,microsomes,0.341243934,2,10,
60,atrazine,dea,microsomes,0.378947201,3,10,
60,atrazine,dea,microsomes,0.308002174,4,10,
90,atrazine,dea,microsomes,0.359831218,1,10,
90,atrazine,dea,microsomes,0.432928865,2,10,
90,atrazine,dea,microsomes,0.459337307,3,10,
0,atrazine,dea,microsomes,0.010932763,1,100,
0,atrazine,dea,microsomes,0.00906186,2,100,
0,atrazine,dea,microsomes,0.011427564,3,100,
15,atrazine,dea,microsomes,0.317229914,1,100,
15,atrazine,dea,microsomes,0.297863205,2,100,
15,atrazine,dea,microsomes,0.30576652,3,100,
30,atrazine,dea,microsomes,0.490665066,1,100,
30,atrazine,dea,microsomes,0.510387221,2,100,
30,atrazine,dea,microsomes,0.480437347,3,100,
60,atrazine,dea,microsomes,0.85701012,1,100,
60,atrazine,dea,microsomes,0.914180319,2,100,
60,atrazine,dea,microsomes,0.767670679,3,100,
90,atrazine,dea,microsomes,1.119176244,1,100,
90,atrazine,dea,microsomes,0.905643096,2,100,
90,atrazine,dea,microsomes,1.044016346,3,100,
0,atrazine,dea,microsomes,0.06413735,1,75,
0,atrazine,dea,microsomes,0,2,75,
0,atrazine,dea,microsomes,0,3,75,
15,atrazine,dea,microsomes,0.265350105,1,75,
15,atrazine,dea,microsomes,0.252666719,2,75,
15,atrazine,dea,microsomes,0.310628256,3,75,
30,atrazine,dea,microsomes,0.489641626,1,75,
30,atrazine,dea,microsomes,0.484022887,2,75,
30,atrazine,dea,microsomes,0.487698201,3,75,
60,atrazine,dea,microsomes,0.844772967,1,75,
60,atrazine,dea,microsomes,0.903936454,2,75,
60,atrazine,dea,microsomes,0.905600859,3,75,
90,atrazine,dea,microsomes,1.124440012,1,75,
90,atrazine,dea,microsomes,1.429855138,2,75,
90,atrazine,dea,microsomes,0.946655192,3,75,
0,atrazine,dea,microsomes,,1,125,
0,atrazine,dea,microsomes,0.007921774,2,125,
0,atrazine,dea,microsomes,0.031483454,3,125,
15,atrazine,dea,microsomes,,1,125,
15,atrazine,dea,microsomes,0.494202961,2,125,
15,atrazine,dea,microsomes,0.462344121,3,125,
30,atrazine,dea,microsomes,,1,125,
30,atrazine,dea,microsomes,0.807147968,2,125,
30,atrazine,dea,microsomes,0.848352727,3,125,
60,atrazine,dea,microsomes,,1,125,
60,atrazine,dea,microsomes,1.611138851,2,125,
60,atrazine,dea,microsomes,1.76792633,3,125,
90,atrazine,dea,microsomes,,1,125,
90,atrazine,dea,microsomes,2.133194979,2,125,
90,atrazine,dea,microsomes,1.795991956,3,125,
0,atrazine,dea,microsomes,0,1,0.712,
0,atrazine,dea,microsomes,0,2,0.712,
0,atrazine,dea,microsomes,0,3,0.712,
15,atrazine,dea,microsomes,0,1,0.712,
15,atrazine,dea,microsomes,0.052966765,2,0.712,
15,atrazine,dea,microsomes,0.022152242,3,0.712,
30,atrazine,dea,microsomes,0.042043283,1,0.712,
30,atrazine,dea,microsomes,0.017249246,2,0.712,
30,atrazine,dea,microsomes,0.040066167,3,0.712,
60,atrazine,dea,microsomes,0.151616937,1,0.712,
60,atrazine,dea,microsomes,0.090030163,2,0.712,
60,atrazine,dea,microsomes,0.131931926,3,0.712,
90,atrazine,dea,microsomes,0.09273422,1,0.712,
90,atrazine,dea,microsomes,,2,0.712,
90,atrazine,dea,microsomes,0.109945027,3,0.712,
0,atrazine,dea,microsomes,0,1,3.1684,
0,atrazine,dea,microsomes,0,2,3.1684,
0,atrazine,dea,microsomes,,3,3.1684,
15,atrazine,dea,microsomes,0.081663688,1,3.1684,
15,atrazine,dea,microsomes,0.098250742,2,3.1684,
15,atrazine,dea,microsomes,0.064161633,3,3.1684,
30,atrazine,dea,microsomes,0.107585902,1,3.1684,
30,atrazine,dea,microsomes,0.09756452,2,3.1684,
30,atrazine,dea,microsomes,0.142322491,3,3.1684,
60,atrazine,dea,microsomes,0.191711135,1,3.1684,
60,atrazine,dea,microsomes,0.185437222,2,3.1684,
60,atrazine,dea,microsomes,0.21711368,3,3.1684,
90,atrazine,dea,microsomes,0.265270616,1,3.1684,
90,atrazine,dea,microsomes,0.260794682,2,3.1684,
90,atrazine,dea,microsomes,0.246155621,3,3.1684,
0,atrazine,dea,microsomes,0,1,250,
0,atrazine,dea,microsomes,0,2,250,
0,atrazine,dea,microsomes,0,3,250,
15,atrazine,dea,microsomes,0.304504501,1,250,
15,atrazine,dea,microsomes,0.327456277,2,250,
15,atrazine,dea,microsomes,0.357391952,3,250,
30,atrazine,dea,microsomes,0.649535281,1,250,
30,atrazine,dea,microsomes,,2,250,
30,atrazine,dea,microsomes,0.541989813,3,250,
60,atrazine,dea,microsomes,1.114144819,1,250,
60,atrazine,dea,microsomes,1.032829952,2,250,
60,atrazine,dea,microsomes,,3,250,
90,atrazine,dea,microsomes,1.857454502,1,250,
90,atrazine,dea,microsomes,1.848929556,2,250,
90,atrazine,dea,microsomes,1.381369076,3,250,
0,atrazine,dea,microsomes,0.019939329,1,150,
0,atrazine,dea,microsomes,0.048466882,2,150,
0,atrazine,dea,microsomes,0.026079286,3,150,
0,atrazine,dea,microsomes,0,4,150,
15,atrazine,dea,microsomes,0.634852481,1,150,
15,atrazine,dea,microsomes,0.425731557,2,150,
15,atrazine,dea,microsomes,0.685758141,3,150,
15,atrazine,dea,microsomes,0.655886478,4,150,
30,atrazine,dea,microsomes,1.175719405,1,150,
30,atrazine,dea,microsomes,0.819943874,2,150,
30,atrazine,dea,microsomes,1.100162014,3,150,
30,atrazine,dea,microsomes,0.985930582,4,150,
60,atrazine,dea,microsomes,1.968440394,1,150,
60,atrazine,dea,microsomes,1.271576575,2,150,
60,atrazine,dea,microsomes,1.873663272,3,150,
60,atrazine,dea,microsomes,1.701164984,4,150,
90,atrazine,dea,microsomes,2.39611731,1,150,
90,atrazine,dea,microsomes,1.275943895,2,150,
90,atrazine,dea,microsomes,2.093301823,3,150,
90,atrazine,dea,microsomes,2.344177507,4,150,
0,atrazine,dia,microsomes,0,1,50,
0,atrazine,dia,microsomes,0,2,50,
0,atrazine,dia,microsomes,0,3,50,
15,atrazine,dia,microsomes,0.585463603,1,50,
15,atrazine,dia,microsomes,0.261545192,2,50,
15,atrazine,dia,microsomes,0.250839807,3,50,
30,atrazine,dia,microsomes,0.51028234,1,50,
30,atrazine,dia,microsomes,0.542636363,2,50,
30,atrazine,dia,microsomes,0.456010453,3,50,
60,atrazine,dia,microsomes,0.771175727,1,50,
60,atrazine,dia,microsomes,0.831308115,2,50,
60,atrazine,dia,microsomes,0.840152987,3,50,
90,atrazine,dia,microsomes,1.307705125,1,50,
90,atrazine,dia,microsomes,1.163648794,2,50,
90,atrazine,dia,microsomes,1.092201395,3,50,
0,atrazine,dia,microsomes,0,1,10,
0,atrazine,dia,microsomes,0,2,10,
0,atrazine,dia,microsomes,0,3,10,
15,atrazine,dia,microsomes,0.063028732,1,10,
15,atrazine,dia,microsomes,0.056638774,2,10,
15,atrazine,dia,microsomes,,3,10,
30,atrazine,dia,microsomes,0.102314087,1,10,
30,atrazine,dia,microsomes,0.102958703,2,10,
30,atrazine,dia,microsomes,0.055763938,3,10,
60,atrazine,dia,microsomes,,1,10,
60,atrazine,dia,microsomes,0.214565616,2,10,
60,atrazine,dia,microsomes,0.202136134,3,10,
60,atrazine,dia,microsomes,0.190219138,4,10,
90,atrazine,dia,microsomes,0.190000776,1,10,
90,atrazine,dia,microsomes,0.325779675,2,10,
90,atrazine,dia,microsomes,0.26769978,3,10,
0,atrazine,dia,microsomes,0,1,100,
0,atrazine,dia,microsomes,0,2,100,
0,atrazine,dia,microsomes,0,3,100,
15,atrazine,dia,microsomes,0.199686369,1,100,
15,atrazine,dia,microsomes,0.226193885,2,100,
15,atrazine,dia,microsomes,0.183498938,3,100,
30,atrazine,dia,microsomes,0.277277734,1,100,
30,atrazine,dia,microsomes,0.320753808,2,100,
30,atrazine,dia,microsomes,0.342265185,3,100,
60,atrazine,dia,microsomes,0.577987791,1,100,
60,atrazine,dia,microsomes,0.621738846,2,100,
60,atrazine,dia,microsomes,0.622069014,3,100,
90,atrazine,dia,microsomes,0.690327949,1,100,
90,atrazine,dia,microsomes,0.607358803,2,100,
90,atrazine,dia,microsomes,0.673085734,3,100,
0,atrazine,dia,microsomes,0,1,75,
0,atrazine,dia,microsomes,0,2,75,
0,atrazine,dia,microsomes,0,3,75,
15,atrazine,dia,microsomes,0.181875613,1,75,
15,atrazine,dia,microsomes,0.220572965,2,75,
15,atrazine,dia,microsomes,0.134445009,3,75,
30,atrazine,dia,microsomes,0.271493213,1,75,
30,atrazine,dia,microsomes,0.240135574,2,75,
30,atrazine,dia,microsomes,0.294733329,3,75,
60,atrazine,dia,microsomes,0.549334509,1,75,
60,atrazine,dia,microsomes,0.593493808,2,75,
60,atrazine,dia,microsomes,0.579429136,3,75,
90,atrazine,dia,microsomes,0.626545938,1,75,
90,atrazine,dia,microsomes,0.989677724,2,75,
90,atrazine,dia,microsomes,0.589031821,3,75,
0,atrazine,dia,microsomes,0,1,125,
0,atrazine,dia,microsomes,0,2,125,
0,atrazine,dia,microsomes,0,3,125,
15,atrazine,dia,microsomes,0.320425273,1,125,
15,atrazine,dia,microsomes,0.25671841,2,125,
15,atrazine,dia,microsomes,0.250484194,3,125,
30,atrazine,dia,microsomes,0.928447636,1,125,
30,atrazine,dia,microsomes,0.468843857,2,125,
30,atrazine,dia,microsomes,0.464918482,3,125,
60,atrazine,dia,microsomes,1.535684696,1,125,
60,atrazine,dia,microsomes,1.103609505,2,125,
60,atrazine,dia,microsomes,1.162619293,3,125,
90,atrazine,dia,microsomes,1.059050839,1,125,
90,atrazine,dia,microsomes,1.351454855,2,125,
90,atrazine,dia,microsomes,1.149727466,3,125,
0,atrazine,dia,microsomes,,1,0.712,
0,atrazine,dia,microsomes,0,2,0.712,
0,atrazine,dia,microsomes,0,3,0.712,
15,atrazine,dia,microsomes,0,1,0.712,
15,atrazine,dia,microsomes,0,2,0.712,
15,atrazine,dia,microsomes,0,3,0.712,
30,atrazine,dia,microsomes,,1,0.712,
30,atrazine,dia,microsomes,,2,0.712,
30,atrazine,dia,microsomes,0.026940754,3,0.712,
60,atrazine,dia,microsomes,0.080149289,1,0.712,
60,atrazine,dia,microsomes,0.027380501,2,0.712,
60,atrazine,dia,microsomes,,3,0.712,
90,atrazine,dia,microsomes,0.061935383,1,0.712,
90,atrazine,dia,microsomes,,2,0.712,
90,atrazine,dia,microsomes,0.071298111,3,0.712,
0,atrazine,dia,microsomes,0,1,3.1684,
0,atrazine,dia,microsomes,0,2,3.1684,
0,atrazine,dia,microsomes,0,3,3.1684,
15,atrazine,dia,microsomes,0.049477598,1,3.1684,
15,atrazine,dia,microsomes,0.049432813,2,3.1684,
15,atrazine,dia,microsomes,,3,3.1684,
30,atrazine,dia,microsomes,0.050456874,1,3.1684,
30,atrazine,dia,microsomes,0.063998501,2,3.1684,
30,atrazine,dia,microsomes,0.037395121,3,3.1684,
60,atrazine,dia,microsomes,0.068845504,1,3.1684,
60,atrazine,dia,microsomes,0.083597324,2,3.1684,
60,atrazine,dia,microsomes,0.096720338,3,3.1684,
90,atrazine,dia,microsomes,,1,3.1684,
90,atrazine,dia,microsomes,0.108999109,2,3.1684,
90,atrazine,dia,microsomes,0.135728061,3,3.1684,
0,atrazine,dia,microsomes,0,1,250,
0,atrazine,dia,microsomes,0,2,250,
0,atrazine,dia,microsomes,0,3,250,
15,atrazine,dia,microsomes,0.595748019,1,250,
15,atrazine,dia,microsomes,0.609228827,2,250,
15,atrazine,dia,microsomes,0.810403963,3,250,
30,atrazine,dia,microsomes,1.130313908,1,250,
30,atrazine,dia,microsomes,,2,250,
30,atrazine,dia,microsomes,1.094019425,3,250,
60,atrazine,dia,microsomes,2.040786946,1,250,
60,atrazine,dia,microsomes,2.060489665,2,250,
60,atrazine,dia,microsomes,1.546144988,3,250,
90,atrazine,dia,microsomes,3.125991996,1,250,
90,atrazine,dia,microsomes,2.961111344,2,250,
90,atrazine,dia,microsomes,2.766158119,3,250,
0,atrazine,dia,microsomes,0,1,150,
0,atrazine,dia,microsomes,0,2,150,
0,atrazine,dia,microsomes,0,3,150,
0,atrazine,dia,microsomes,0,4,150,
15,atrazine,dia,microsomes,0.397134148,1,150,
15,atrazine,dia,microsomes,0.200692165,2,150,
15,atrazine,dia,microsomes,0.438951389,3,150,
15,atrazine,dia,microsomes,0.389074132,4,150,
30,atrazine,dia,microsomes,0.735668645,1,150,
30,atrazine,dia,microsomes,0.641012348,2,150,
30,atrazine,dia,microsomes,0.895177769,3,150,
30,atrazine,dia,microsomes,0.833089226,4,150,
60,atrazine,dia,microsomes,1.091832924,1,150,
60,atrazine,dia,microsomes,0.77221084,2,150,
60,atrazine,dia,microsomes,1.267592057,3,150,
60,atrazine,dia,microsomes,1.113093549,4,150,
90,atrazine,dia,microsomes,1.656276416,1,150,
90,atrazine,dia,microsomes,0.817747445,2,150,
90,atrazine,dia,microsomes,1.357629712,3,150,
90,atrazine,dia,microsomes,1.915166937,4,150,
0,fipronil,fipsulf,microsomes,0.218453069,1,10,
0,fipronil,fipsulf,microsomes,0.16722553,2,10,
0,fipronil,fipsulf,microsomes,0.177409431,3,10,
15,fipronil,fipsulf,microsomes,0.51830331,1,10,
15,fipronil,fipsulf,microsomes,0.552214025,2,10,
15,fipronil,fipsulf,microsomes,0.537364947,3,10,
30,fipronil,fipsulf,microsomes,0.913205394,1,10,
30,fipronil,fipsulf,microsomes,1.016825543,2,10,
30,fipronil,fipsulf,microsomes,0.901827084,3,10,
60,fipronil,fipsulf,microsomes,1.42587892,1,10,
60,fipronil,fipsulf,microsomes,1.446211798,2,10,
60,fipronil,fipsulf,microsomes,1.577890064,3,10,
90,fipronil,fipsulf,microsomes,1.999928264,1,10,
90,fipronil,fipsulf,microsomes,2.086184093,2,10,
90,fipronil,fipsulf,microsomes,2.088468137,3,10,
0,fipronil,fipsulf,microsomes,0.024236972,1,2.89,
0,fipronil,fipsulf,microsomes,0.022488202,2,2.89,
0,fipronil,fipsulf,microsomes,0.025605583,3,2.89,
15,fipronil,fipsulf,microsomes,0.153953365,1,2.89,
15,fipronil,fipsulf,microsomes,0.14676346,2,2.89,
15,fipronil,fipsulf,microsomes,0.150213178,3,2.89,
30,fipronil,fipsulf,microsomes,0.255979534,1,2.89,
30,fipronil,fipsulf,microsomes,0.273005759,2,2.89,
30,fipronil,fipsulf,microsomes,0.277157181,3,2.89,
60,fipronil,fipsulf,microsomes,0.600301918,1,2.89,
60,fipronil,fipsulf,microsomes,0.578169686,2,2.89,
60,fipronil,fipsulf,microsomes,0.619389899,3,2.89,
90,fipronil,fipsulf,microsomes,0.72919882,1,2.89,
90,fipronil,fipsulf,microsomes,0.855702746,2,2.89,
90,fipronil,fipsulf,microsomes,1.005390251,3,2.89,
0,fipronil,fipsulf,microsomes,0.785110353,1,50,
0,fipronil,fipsulf,microsomes,0.651662128,2,50,
0,fipronil,fipsulf,microsomes,0.623272931,3,50,
15,fipronil,fipsulf,microsomes,1.389739341,1,50,
15,fipronil,fipsulf,microsomes,1.129679656,2,50,
15,fipronil,fipsulf,microsomes,1.171944943,3,50,
30,fipronil,fipsulf,microsomes,0.985037522,1,50,
30,fipronil,fipsulf,microsomes,1.525224345,2,50,
30,fipronil,fipsulf,microsomes,1.371585733,3,50,
60,fipronil,fipsulf,microsomes,2.350595335,1,50,
60,fipronil,fipsulf,microsomes,2.151757802,2,50,
60,fipronil,fipsulf,microsomes,2.044295988,3,50,
90,fipronil,fipsulf,microsomes,2.879243198,1,50,
90,fipronil,fipsulf,microsomes,2.483251478,2,50,
90,fipronil,fipsulf,microsomes,2.593598032,3,50,
0,fipronil,fipsulf,microsomes,0.076232122,1,75,
0,fipronil,fipsulf,microsomes,0.11093207,2,75,
0,fipronil,fipsulf,microsomes,0.100698461,3,75,
15,fipronil,fipsulf,microsomes,0.563272498,1,75,
15,fipronil,fipsulf,microsomes,0.126440587,2,75,
15,fipronil,fipsulf,microsomes,0.39526057,3,75,
30,fipronil,fipsulf,microsomes,0.846041523,1,75,
30,fipronil,fipsulf,microsomes,0.893588458,2,75,
30,fipronil,fipsulf,microsomes,0.911664361,3,75,
60,fipronil,fipsulf,microsomes,4.14E-02,2,75,
60,fipronil,fipsulf,microsomes,0.669794737,3,75,
90,fipronil,fipsulf,microsomes,1.21631006,1,75,
90,fipronil,fipsulf,microsomes,1.162617749,2,75,
90,fipronil,fipsulf,microsomes,1.251568939,3,75,
0,fipronil,fipsulf,microsomes,1.13821052,1,100,
0,fipronil,fipsulf,microsomes,0.334004631,2,100,
0,fipronil,fipsulf,microsomes,0.316680231,3,100,
15,fipronil,fipsulf,microsomes,0.918283437,1,100,
15,fipronil,fipsulf,microsomes,0.90859124,2,100,
15,fipronil,fipsulf,microsomes,1.020530824,3,100,
30,fipronil,fipsulf,microsomes,1.343619416,1,100,
30,fipronil,fipsulf,microsomes,1.498547233,2,100,
30,fipronil,fipsulf,microsomes,1.547942907,3,100,
60,fipronil,fipsulf,microsomes,1.768354064,1,100,
60,fipronil,fipsulf,microsomes,1.991371294,2,100,
60,fipronil,fipsulf,microsomes,1.8610216,3,100,
90,fipronil,fipsulf,microsomes,2.114823643,1,100,
90,fipronil,fipsulf,microsomes,2.540092398,2,100,
90,fipronil,fipsulf,microsomes,2.212077131,3,100,
0,fipronil,fipsulf,microsomes,0.238292686,1,125,
0,fipronil,fipsulf,microsomes,0.169686663,2,125,
0,fipronil,fipsulf,microsomes,0.214656616,3,125,
15,fipronil,fipsulf,microsomes,0.896250609,1,125,
15,fipronil,fipsulf,microsomes,1.003144725,2,125,
15,fipronil,fipsulf,microsomes,0.878415124,3,125,
30,fipronil,fipsulf,microsomes,1.296498301,1,125,
30,fipronil,fipsulf,microsomes,1.188470589,2,125,
30,fipronil,fipsulf,microsomes,1.332743895,3,125,
60,fipronil,fipsulf,microsomes,1.838994297,1,125,
60,fipronil,fipsulf,microsomes,1.735055265,2,125,
60,fipronil,fipsulf,microsomes,1.867403256,3,125,
90,fipronil,fipsulf,microsomes,2.350429219,1,125,
90,fipronil,fipsulf,microsomes,2.217648418,2,125,
90,fipronil,fipsulf,microsomes,2.313686352,3,125,
0,fipronil,fipsulf,microsomes,0.490201412,1,150,
0,fipronil,fipsulf,microsomes,0.500310765,2,150,
0,fipronil,fipsulf,microsomes,0.501022601,3,150,
15,fipronil,fipsulf,microsomes,1.255933807,1,150,
15,fipronil,fipsulf,microsomes,1.075230731,2,150,
15,fipronil,fipsulf,microsomes,1.154821858,3,150,
30,fipronil,fipsulf,microsomes,1.506153651,1,150,
30,fipronil,fipsulf,microsomes,1.58449239,2,150,
